subject_id,label,factor_1,factor_2,factor_3,factor_4,factor_5,method
T005507,FIN/EST,0.299599438619653,-1.72716071095691,-0.747626563186842,-0.862510366525864,0.794657787279305,TEMPTED
T005999,FIN/EST,0.663084790856626,-0.0190551610980945,1.72708071152563,-0.116925372747914,1.25027684595167,TEMPTED
T008025,FIN/EST,-0.855245099005464,-1.26724365125666,0.185216904896866,-0.16210562690679,1.91062404716213,TEMPTED
T009909,FIN/EST,-0.948646414475756,-0.402512512387872,0.260172461242842,0.829734691005435,-1.86507570121287,TEMPTED
T011454,FIN/EST,-0.979820142412685,0.758080751820101,-0.614686680333784,-0.981184897214502,1.32392946251257,TEMPTED
T012138,FIN/EST,-0.736051796875733,-0.171573604083145,-0.996511215696576,-0.386922762559203,0.320729849081328,TEMPTED
T012374,FIN/EST,-0.462823409194624,-0.075894977222661,1.6474114450027,0.347961962445386,-0.545465577648088,TEMPTED
T012389,FIN/EST,-0.375192233030297,-1.10308806706813,-2.12490683231379,0.566904915476463,-0.324494214554887,TEMPTED
T012983,FIN/EST,-0.294005017374584,-0.580938391880167,-0.208823860877858,-0.670069905860116,-0.071434037286144,TEMPTED
T013828,FIN/EST,1.15800001953265,-0.544230265924197,-0.0354235354001239,1.44293161349837,0.541707675093321,TEMPTED
T014806,FIN/EST,-0.189914056760272,0.494786167029469,0.350875534429693,0.580286518111622,-0.942723417196803,TEMPTED
T014827,FIN/EST,-0.0135577003345615,-0.0432554037751038,1.19972111146075,0.122834835059712,0.326460090587638,TEMPTED
T016234,FIN/EST,-0.471616340110498,-0.715496521265725,-1.74462408505946,-1.47860642029071,0.230122720700332,TEMPTED
T017394,FIN/EST,-1.12068048857756,-0.9865414906809,-1.29385360438234,-0.687745402113297,0.681125647081226,TEMPTED
T017419,FIN/EST,-0.997086235918205,-0.856585535743193,0.279029480765942,-0.906719621057438,0.675636056161359,TEMPTED
T019850,FIN/EST,-0.374327779734821,-0.154505173239838,0.0110648014707265,-1.02337511178052,-0.182287412957748,TEMPTED
T019852,FIN/EST,0.284210068688069,-0.955887041778526,0.239749304324577,0.269000330421426,-0.131670452676465,TEMPTED
T021076,FIN/EST,0.853716299703305,-0.40513845031052,0.964234091163288,-0.681924209405796,-1.57011373136566,TEMPTED
T026211,FIN/EST,-0.724239363135983,0.656147832015441,0.230716159932587,-0.915734638359361,0.725719618827427,TEMPTED
T029687,FIN/EST,-0.757934406117961,-0.640948745872338,-0.189088629382241,-2.15338823907339,-0.668164819368573,TEMPTED
E002473,FIN/EST,-0.0107050691423775,-0.0238837564864317,-0.1137173038912748,1.2089544310882,-0.3205244997179359,MEFISTO
E003393,FIN/EST,0.8100983043555114,-0.9566386347620276,-0.9448092414924348,0.3327699336745462,-1.3661694984424408,MEFISTO
E004781,FIN/EST,0.4264257519057912,-0.301238499123597,0.9401537031623513,0.1253099025637462,-0.8361571695989785,MEFISTO
E005804,FIN/EST,-0.0257978240578147,-0.4902537348246864,0.3965991058379411,-0.0278599341931461,-0.5371035509663417,MEFISTO
E007303,FIN/EST,-0.9749850162602866,-0.6578024346587414,0.9821700029626408,-0.491112656664111,0.7076224014331849,MEFISTO
E007743,FIN/EST,-0.9764288667645942,-0.4477379796972502,0.8211174170943889,-0.4724095720499305,1.117103253168929,MEFISTO
E009676,FIN/EST,0.3915788560530976,-0.403633803192903,-0.9353453440421016,-0.5650127450517101,-0.657088860297221,MEFISTO
E011459,FIN/EST,-1.663244654188733,-0.5621035066436473,-1.4382960330545584,0.3367278595943194,0.966683551295511,MEFISTO
E012115,FIN/EST,0.107495311634474,-1.0223082768922758,-0.932029131675668,1.0080877693759742,-1.4348798271073273,MEFISTO
E012971,FIN/EST,-1.6040626720974016,-1.0250569304821229,0.6637609157221787,-0.8901359461966318,1.0798148381566202,MEFISTO
E013394,FIN/EST,-0.3208542939372915,-0.7009607339505833,1.395400623700725,-1.3229534187939878,0.0145751343159943,MEFISTO
E015378,FIN/EST,-0.8406381809914256,-0.3310060525533742,-0.86097621682859,1.1312030315957973,0.5175291874689814,MEFISTO
E015991,FIN/EST,-0.198309378096941,-0.7961858803994469,-0.5665256630335799,-0.8306301364883668,0.6113440354324259,MEFISTO
E016148,FIN/EST,0.8457666973477171,-0.0224012405014475,0.4745594063754749,1.997038500820221,-0.6745958674487529,MEFISTO
E016444,FIN/EST,-0.9507280691746136,-0.2101594261817729,0.3958652956331928,1.2322644867097965,1.249578426994736,MEFISTO
E019349,FIN/EST,0.3071536004649609,-0.3432720508493704,0.1248404029466662,0.0493594884151498,-0.0050402721598347,MEFISTO
E022960,FIN/EST,-0.2855991825853662,-0.4404396263233011,0.5724703153985451,-2.847657924828284,0.5216923359632631,MEFISTO
E024646,FIN/EST,0.8235637382090112,-0.5844325220455482,-0.8588196014776653,-0.1149577778572482,-1.2830007768244935,MEFISTO
E025912,FIN/EST,-1.0059304648805552,-0.987169165427112,3.06744251238363,-1.1655388075547497,0.311621829435793,MEFISTO
E029310,FIN/EST,-0.6676386312649797,-0.8173354663041519,0.0551952022577861,-0.2662159050800202,0.1558717995807401,MEFISTO
E033156,FIN/EST,-0.2968841943687785,-0.1478763763940244,-0.6084306230817419,-0.3611965529830214,0.2621971821268723,MEFISTO
P001307,RUS,-0.726916442963209,0.616886663592222,0.5333263023720055,0.5266219961866309,1.2058755633912182,MEFISTO
P003173,RUS,-1.5156795961181646,-0.2514326206016637,0.502004344097263,-1.0052133293057737,2.259714598401473,MEFISTO
P003435,RUS,0.2768081699612097,2.103030347342887,0.984727754337176,-0.0981422570573765,0.5032385451346711,MEFISTO
