method,feature_id,kingdom,phylum,class,order,family,genus,factor_1,factor_2,factor_3,factor_4,factor_5
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__|f__|g__Unknown_029,k__Bacteria,p__Firmicutes,c__Clostridia,o__,f__,g__Unknown_029,-0.7822726321483223,-0.21918857218270876,0.2489070666634527,0.0002335047716924,-0.8175530922188385
MEFISTO,k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Unknown_031,k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__[Coprobacillaceae],g__Unknown_031,-0.00225048135867525,-0.2002856851924663,0.00027926876187935,-0.24712027458690072,-1.1865583602923662
MEFISTO,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Sutterella,-1.278035762047383,1.5456891302291988,1.0598901771896503,-0.0013708609954786498,0.8658378858034144
MEFISTO,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,1.7832837794754024,0.2006801895256695,0.5434248828155881,0.22506472317604254,-0.2450440460612428
MEFISTO,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Escherichia,1.904072888771645,0.31763069367327845,5.837340557409852e-05,1.103522088853837,-0.1766492769899441
MEFISTO,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Unknown_042,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Unknown_042,1.7680206949211625,0.16815497042498911,-0.5590078109533313,1.0514875832477237,-0.36714272834876327
MEFISTO,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,-0.1613556775014452,1.5356637625534608,0.9539409726005244,-0.004889020846698049,0.00011284353864490001
MEFISTO,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Akkermansia,-0.37332065409886583,-1.061755617425023,0.0003377525384489827,0.001406259787139,1.2887633769582947
TEMPTED,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,0.2492148135193395,-0.14830199822810902,-0.28412160480769,0.08238285837137325,-0.03392030305141155
TEMPTED,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,-0.027084452325467648,0.43261568006095297,-0.2578989912767295,0.16356658481551,0.236601802223937
