method,factor,label,time_bin,time,median,lower,upper,n
TEMPTED,factor_2,RUS,9,919.0,1.908411837185437,0.24726168909091822,2.437242712886024,12
TEMPTED,factor_2,RUS,10,1011.5,0.5836053040569334,-2.047922666001872,2.1606960939284168,12
TEMPTED,factor_2,RUS,11,1101.0,-0.970482453752403,-2.8334494342322554,0.34271358757970005,3
TEMPTED,factor_3,FIN/EST,0,62.5,-3.090404590758892,-5.184970900391886,-0.3070400447459528,142
TEMPTED,factor_3,FIN/EST,1,165.0,-1.532136379768161,-3.636520298351832,0.6975794226807503,97
TEMPTED,factor_3,FIN/EST,2,293.5,1.4702731348297067,-0.3954709141105759,3.693828107839229,82
TEMPTED,factor_3,FIN/EST,3,386.0,2.4227434114142348,-0.106397525713177,4.630087901059629,88
TEMPTED,factor_3,FIN/EST,4,482.0,2.347872428791066,-0.1594164079451355,4.161888637917293,113
TEMPTED,factor_3,FIN/EST,5,576.5,1.8931815395884688,0.33565770472475864,3.814678294761288,116
TEMPTED,factor_3,FIN/EST,6,669.0,1.9508955521776445,0.07300817797736228,3.1079869853741733,107
TEMPTED,factor_3,FIN/EST,7,712.0,2.6700145423257973,0.8825317554555625,3.4285291177950974,13
TEMPTED,factor_3,FIN/EST,8,854.0,1.8566992615015525,0.5264476380579814,3.0160058473879428,71
TEMPTED,factor_3,FIN/EST,9,887.0,1.4395805584873282,-0.6789296398895058,2.1902003979105436,8
TEMPTED,factor_3,FIN/EST,10,1059.0,2.22946642187026,1.9777938456656905,3.173783306593073,8
TEMPTED,factor_3,FIN/EST,11,1098.5,1.687346033143065,0.3109972004535327,3.663622224043955,62
TEMPTED,factor_3,RUS,0,102.0,-3.921263446013623,-4.487990568383507,-2.9833416110200224,6
TEMPTED,factor_3,RUS,1,185.0,-5.064405602436934,-6.286155173921854,-2.6428294758747635,75
TEMPTED,factor_3,RUS,2,264.0,-3.273767509143813,-5.820531709346328,-1.6554095157374462,115
TEMPTED,factor_3,RUS,3,365.0,-2.1545519757065064,-5.043220094098036,0.5791422036933274,125
TEMPTED,factor_3,RUS,4,449.0,-0.09728950308542585,-2.9508703584102216,2.9210684079713647,101
TEMPTED,factor_3,RUS,5,549.0,1.118073026526943,-1.0954244333429306,2.8718330132034144,81
TEMPTED,factor_3,RUS,6,638.0,1.4366056000068343,-0.5772586386488833,3.3279925411870916,56
TEMPTED,factor_3,RUS,7,725.0,1.7680370671981356,-0.05570732894515599,3.363862352904434,47
TEMPTED,factor_3,RUS,8,829.5,1.4627668841744268,-0.17231121944484926,3.6961428348364413,24
TEMPTED,factor_3,RUS,9,919.0,0.939281430711393,0.03764477691724688,2.6033051465604338,12
TEMPTED,factor_3,RUS,10,1011.5,-0.04734315022008927,-1.9792205494124708,1.5544702668362091,12
TEMPTED,factor_3,RUS,11,1101.0,-1.1912008416296527,-2.0767977074604116,-0.20673608391035625,3
TEMPTED,factor_4,FIN/EST,0,62.5,6.743957017828736,4.428970694082058,8.995108450178897,142
TEMPTED,factor_4,FIN/EST,1,165.0,7.433435530487027,4.684493990932681,9.134749948438744,97
TEMPTED,factor_4,FIN/EST,2,293.5,3.2522284489237485,-0.14841293941411107,6.601015157173082,82
TEMPTED,factor_4,FIN/EST,3,386.0,0.012823532269679274,-2.465796708597986,3.8658691414672317,88
TEMPTED,factor_4,FIN/EST,4,482.0,-2.2802328990491665,-4.721818245965209,0.5016138244183006,113
TEMPTED,factor_4,FIN/EST,5,576.5,-4.179369081873384,-5.838237523725416,-1.9018813615220198,116
TEMPTED,factor_4,FIN/EST,6,669.0,-4.628330272317297,-7.2319291376349,-1.2273040065113583,107
TEMPTED,factor_4,FIN/EST,7,712.0,-2.801682085146241,-6.418758781085192,1.880808577669416,13
TEMPTED,factor_4,FIN/EST,8,854.0,-5.679623651543142,-7.676414320478026,-3.1515723269005296,71
TEMPTED,factor_4,FIN/EST,9,887.0,-3.2855867587419274,-5.836523348416473,-2.508655875517699,8
TEMPTED,factor_4,FIN/EST,10,1059.0,-5.541357049271865,-7.372697199110647,-4.736813748317394,8
TEMPTED,factor_4,FIN/EST,11,1098.5,-6.983549754418934,-8.38787408840626,-5.148795763604596,62
TEMPTED,factor_4,RUS,0,102.0,4.688904637616748,3.8813074407403594,8.040084426670184,6
TEMPTED,factor_4,RUS,1,185.0,5.629662031156058,2.8738866360571294,7.876891361751718,75
TEMPTED,factor_4,RUS,2,264.0,2.0891126655052608,-1.4427308305039686,6.074689051635692,115
TEMPTED,factor_4,RUS,3,365.0,-0.6906815804470394,-2.9906656959855993,2.7290128299971497,125
TEMPTED,factor_4,RUS,4,449.0,-2.3634846882008542,-4.438763203898425,0.4328923713749057,101
TEMPTED,factor_4,RUS,5,549.0,-3.572459146118557,-6.185463160779034,-0.6448144495625275,81
TEMPTED,factor_4,RUS,6,638.0,-4.180946526449837,-5.678027537857144,-1.0357212247409076,56
TEMPTED,factor_4,RUS,7,725.0,-5.083588775404725,-6.649666625060949,-1.6344152758629418,47
TEMPTED,factor_4,RUS,8,829.5,-6.060694402441209,-7.305321109784373,-4.278345985910024,24
TEMPTED,factor_4,RUS,9,919.0,-5.623643185594354,-7.855076677704469,-3.124463470551025,12
TEMPTED,factor_4,RUS,10,1011.5,-5.175662888608455,-6.606971221308419,-2.4080703156372287,12
TEMPTED,factor_4,RUS,11,1101.0,-3.585855558858479,-4.565347695185564,-2.7775502712178,3
TEMPTED,factor_5,FIN/EST,0,62.5,1.9858313886382957,-0.5747197317928351,3.939379258555294,142
TEMPTED,factor_5,FIN/EST,1,165.0,-0.22875141287202935,-3.2808690323776815,1.8218006921014658,97
TEMPTED,factor_5,FIN/EST,2,293.5,-2.9512645444719876,-5.434702991086765,-0.9140361955414225,82
TEMPTED,factor_5,FIN/EST,3,386.0,-3.5847901179014974,-6.480430843886534,-0.729139742908859,88
TEMPTED,factor_5,FIN/EST,4,482.0,-2.824356946489812,-5.247149760667228,-0.4528537696654489,113
TEMPTED,factor_5,FIN/EST,5,576.5,-1.6200658710814795,-3.6052698820230615,0.9839836718596158,116
TEMPTED,factor_5,FIN/EST,6,669.0,-0.6780638163359752,-3.335907137844263,0.8901556042448726,107
TEMPTED,factor_5,FIN/EST,7,712.0,-3.0417528417373387,-4.0453694661854955,-0.881744510462333,13
TEMPTED,factor_5,FIN/EST,8,854.0,-1.2143651122342773,-2.6098389209637136,-0.15606829594225963,71
TEMPTED,factor_5,FIN/EST,9,887.0,0.00916579909804896,-0.31006105646081744,1.5189410875960536,8
TEMPTED,factor_5,FIN/EST,10,1059.0,-0.673950678277529,-2.6578789289497107,0.9208665732402833,8
TEMPTED,factor_5,FIN/EST,11,1098.5,-0.716271165903881,-2.773694213746609,1.150211912123342,62
TEMPTED,factor_5,RUS,0,102.0,-0.03287116761683642,-1.1575679675334134,0.45099852756739534,6
TEMPTED,factor_5,RUS,1,185.0,-1.522708644848953,-3.488968532210314,0.4980876307266131,75
TEMPTED,factor_5,RUS,2,264.0,-3.2239974288672952,-7.0994117476799214,-0.6702494828521777,115
TEMPTED,factor_5,RUS,3,365.0,-4.0494540488315565,-6.835441725229669,-0.8501480582706179,125
TEMPTED,factor_5,RUS,4,449.0,-4.746170930982041,-6.500646308976905,-2.176720580523986,101
TEMPTED,factor_5,RUS,5,549.0,-2.8339781564002213,-5.273748849082863,-1.042931639090377,81
TEMPTED,factor_5,RUS,6,638.0,-1.9262295652520083,-4.597249089535316,-0.7173815981888444,56
TEMPTED,factor_5,RUS,7,725.0,-1.8982482118978754,-3.6094679606872537,-0.4880040625438261,47
TEMPTED,factor_5,RUS,8,829.5,-2.3536447974782524,-3.5963582284307076,-0.19176628046864885,24
TEMPTED,factor_5,RUS,9,919.0,0.027292419956707115,-1.5838199966473911,1.1821854020789009,12
TEMPTED,factor_5,RUS,10,1011.5,-1.7509965784368058,-3.0590385014702495,1.5677904727417118,12
TEMPTED,factor_5,RUS,11,1101.0,-0.24451935143773143,-3.070789491466535,-0.17755466495482833,3
MEFISTO,factor_1,FIN/EST,0,62.5,0.7781273424625397,0.30007990449666977,1.1484251022338867,142
MEFISTO,factor_1,FIN/EST,1,165.0,0.4278851449489593,0.0023603516824504,0.859060021491603,97
MEFISTO,factor_1,FIN/EST,2,293.5,-0.4483857899904251,-0.8198331479972218,0.18015401221351252,82
MEFISTO,factor_1,FIN/EST,3,386.0,-0.7226236206509775,-1.1762531697750092,-0.29926653206348414,88
MEFISTO,factor_1,FIN/EST,4,482.0,-1.183782935142517,-1.4349278986820695,-0.7367501854896545,113
MEFISTO,factor_1,FIN/EST,5,576.5,-1.4011734127998352,-1.6541202068328857,-1.1105637848377228,116
MEFISTO,factor_1,FIN/EST,6,669.0,-1.4454501867294312,-1.7321316003799438,-1.0417942504694344,107
MEFISTO,factor_1,FIN/EST,7,712.0,-1.2280477285385132,-1.648450255393982,-0.9592241048812866,13
MEFISTO,factor_1,FIN/EST,8,854.0,-1.6409060955047607,-1.9044089687998706,-1.1167573785709504,71
MEFISTO,factor_1,FIN/EST,9,887.0,-1.2694523512126146,-1.3259762227535248,-1.164176046848297,8
MEFISTO,factor_1,FIN/EST,10,1059.0,-1.7423575572181722,-1.9152118164449148,-1.261964372992459,8
MEFISTO,factor_1,FIN/EST,11,1098.5,-1.741207989478411,-1.9586772769257945,-1.3985760611456066,62
MEFISTO,factor_1,RUS,0,102.0,1.036402404308319,0.5418982431292534,1.5450311056463255,6
MEFISTO,factor_1,RUS,1,185.0,1.0113396644592283,0.34192380309104914,1.3349914393564997,75
MEFISTO,factor_1,RUS,2,264.0,0.2559310793876648,-0.5085313091750416,0.8712990283966064,115
MEFISTO,factor_1,RUS,3,365.0,-0.4279471933841705,-0.959690809249878,0.2346854572313859,125
MEFISTO,factor_1,RUS,4,449.0,-0.8537934422492981,-1.2554692029953003,-0.4249636828899383,101
MEFISTO,factor_1,RUS,5,549.0,-1.14912211894989,-1.49709951877594,-0.8564722537994385,81
MEFISTO,factor_1,RUS,6,638.0,-1.3287190794944763,-1.585440786510489,-0.9481316953897476,56
MEFISTO,factor_1,RUS,7,725.0,-1.46478009223938,-1.653086006641388,-1.085527241230011,47
MEFISTO,factor_1,RUS,8,829.5,-1.4629241228103638,-1.8502944111824038,-1.273979758386531,24
