"component_1","component_2","subject_id"
0.0594586852254194,0.0802939367439257,"T012312"
0.0683924236506698,-0.0407772486146294,"T012374"
0.0571790485642365,0.098205735221347,"T012389"
0.101142967103002,0.0723831987757886,"T012977"
0.0575525142281485,0.0400838195974252,"T012983"
0.0682951132392356,0.0391114091293773,"T013431"
0.0727041294208569,0.0201644368808452,"T013828"
0.0711941537798316,-0.0249443555272653,"T013832"
0.104288362893918,0.00197187013216376,"T014197"
0.0696485689162685,0.0695389959162929,"T014575"
0.0411618602070538,0.0903409222298825,"T014800"
0.119547964142048,0.0361443794004388,"T014801"
0.0631260036392748,-0.0322448062951068,"T014806"
0.049072859682113,-0.0541227840616571,"T014827"
0.0730896108414044,0.0211829491554879,"T016234"
0.0647752969503383,0.00913694330706674,"T016548"
0.0647686798929534,0.0715560701833867,"T016811"
0.083355571062491,0.0771236201577699,"T016812"
0.10233619654067,0.000784244317522135,"T016834"
0.0935722802779433,0.00756385845582155,"T017394"
0.0842352454040064,0.062029910927813,"T017419"
0.060276317930663,0.136486166579633,"T018343"
0.034712696221032,-0.0128522295884265,"T019021"
0.0984883750895493,0.0442508645690994,"T019031"
0.0690887730195746,-0.00926181885677908,"T019850"
0.0433457223801733,0.112700564420736,"T019852"
0.07532248469811,0.0787788350074469,"T019853"
0.0376542677050345,0.0335443156724896,"T020231"
0.0395971481352385,0.0328533669683869,"T021076"
0.0454612083474339,0.0639696503983591,"T021613"
0.0312716429361781,-0.105284857469752,"T022883"
0.0752582177038243,0.0668659259019489,"T023390"
0.0619503488003068,0.0251771612078998,"T023909"
0.0773934838871121,0.0364759348916488,"T024121"
0.0562272344431509,-0.0745499569951087,"T025415"
0.0853524817291461,-0.104312110892354,"T026211"
0.0757762382232221,-0.0359300757943052,"T028029"
0.0375955686509904,0.00255348519509822,"T028183"
0.0815350907832682,0.0328232846529235,"T029687"
0.0708969861215774,-0.0873936665549853,"T029922"
