subject_id,factor_1,factor_2
T003950,0.16959200550392325,1.6055298075875153
T004341,-0.18454048228211137,1.6246690735689315
T005507,-0.9184579632570312,1.6154184460468148
T005643,-0.5101882992260709,1.625533170981351
T005999,0.0700998918672697,1.6547622573808074
T006266,-0.3751344646085144,1.6088772265515459
T006288,-0.4573655894568692,1.684747042914731
T007404,-1.1409782765252219,1.5211724255108467
T007748,-0.3549087838578068,1.5713472495501482
T007750,0.3934059993205469,1.6124285789979798
T008025,-0.3835195820872386,1.5978363403769824
T008246,-0.35604865583931417,1.6017886658843803
T008247,0.06901691585011208,1.6277535480428256
T008631,-0.36302526360514786,1.6229980045220573
T009275,-0.1901888387598654,1.6760970907504107
T009280,-0.7137738228718318,1.583788337640496
T009717,0.06042564960878974,1.6602742386746516
T009909,0.041358042452697696,1.6575253654858577
T010520,-0.09996510478310866,1.6225258501871043
T010532,-0.5629919576305404,1.6742772569468372
T011454,-1.204040075112018,1.572578805786645
T011676,0.18715933594761794,1.6505177332781786
T012121,-0.39213444160702554,1.5530156155298964
T012138,-0.7629390979858268,1.5862032725126214
T012312,-0.6465543843732988,1.6318366382519678
T012374,-0.3211916974223525,1.613843343633354
T012389,-0.7814708441642252,1.5626702451702206
T012977,-1.5816909576724034,1.5044766402735013
T012983,-0.9259954535004304,1.5841139213642572
T013431,-0.3339709438482523,1.6693056984885166
T013828,-0.9285789921808286,1.6257053928330742
T013832,-0.4452718836092903,1.569647948344489
T014197,-1.7514391021414741,1.547134845144627
T014575,-0.3065538797396107,1.6683218367575001
T014800,-1.045257382544744,1.563829122730483
T014801,-1.0771836159914543,1.5993903309603457
T014806,-0.3023982572809386,1.582197335428335
T014827,-0.6294521065847863,1.5789330935297732
T016234,-0.5602598918656254,1.6325894406631605
T016548,0.005186896719203049,1.5900972814298566
T016811,-0.7533723222067702,1.5995692552657301
T016812,-0.44444519329278387,1.5671085578576882
T016834,-1.2187586311328416,1.5423751920838753
T017394,-0.6431920490801313,1.581279915930295
T017419,-0.9085883507230118,1.6464016263857433
T018343,-0.6285995595937592,1.6153622814328958
T019021,-0.5478715691186806,1.5871329175428743
T019031,-0.38306013718923876,1.6807516014911257
T019850,-0.11985068767923845,1.605788704813734
T019852,-0.529268876939938,1.650022709206605
T019853,-0.6176641121288626,1.6068950871906194
T020231,-0.9031978564946783,1.6176659388435586
T021076,0.15674239381463512,1.6172251587781163
T021613,-0.6133680950912099,1.5603262181954947
T022883,0.1071813666376496,1.666254028189719
